site_name,Facility ID,Marine Scotland Site ID,Species,Stage,Facility Type,Number of Facilities,Facility Description,Date Registered,nationalgridreference,Local Authority,Producing in Last 3 Years,Site Address 1,Site Address 2,Site Address 3,Site Post Code,Site Contact Number,Aquaculture Type,watertype,Health Surveillance,easting,northing,MS Management Area,Region,company,species
North Loch Scadavay,10000744,FS0193,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,27-May-89,NF868675,Western Isles,No,N/A,,,,,Fish,Freshwater,,86800,867500,,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Aird,10000775,FS0594,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,17-Apr-89,NG789560,Highland,Yes,Aird,Sheildaig,,IV54 8XH,,Fish,Seawater,Medium,178900,856000,11a - Torridon,Highland,Bakkafrost Scotland,Atlantic Salmon
Applecross Smolt Unit,10000890,FS0500,Atlantic Salmon,Salmon freshwater stages,N/A,1,N/A,27-Mar-89,NG821405,Highland,Yes,Russel Burn,Kishorn,,IV54 8XF,,Fish,Freshwater,Medium,182100,840500,Not in a management area,Highland,Bakkafrost Scotland,Atlantic Salmon
Gravir,10000816,FS0242,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Jan-89,NB413146,Western Isles,Yes,Gravir,South Lochs,,HS2 9QX,,Fish,Seawater,Low,141300,914600,5a - E Lewis,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Loch Uiskevagh,10000753,FS0638,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-89,NF858508,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,85800,850800,,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Vuiabeag,10000759,FS0411,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-89,NB121331,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,112100,933100,6a - Loch Roag,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Meall Mhor Loch Fyne,10000901,FS0091,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,28-Sep-88,NR865745,Argyll and Bute,Yes,Stronachullin,Tarbert Road,"ArdrIshaig, Argyll",PA30 8ET,,Fish,Seawater,Medium,186500,674500,19a - Fyne,Strathclyde,Bakkafrost Scotland,Atlantic Salmon
Inch Kenneth,10000931,FS0593,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,06-Jan-88,NM450364,Argyll and Bute,No,N/A,,,,,Fish,Seawater,Medium,145000,736400,"16a - Tuath, na Keal",Strathclyde,Bakkafrost Scotland,Atlantic Salmon
Lamlash,10000844,FS0423,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Jan-88,NS044292,North Ayrshire,Yes,Kingscross,By Brodick,,KA27 8RG,,Fish,Seawater,Low,204400,629200,20 - Arran,Strathclyde,Bakkafrost Scotland,Atlantic Salmon
Loch Geirean,10000848,FS0195,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,09-May-87,NF906685,Western Isles,No,Langass Hatchery,Lochmaddy,"Isle of North Uist, Western Isles",HS6 5HA,,Fish,Freshwater,Low,90600,868500,Not in a management area,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Loch A'Laip,10000259,FS0159,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,09-Apr-87,NF867470,Western Isles,No,N/A,,,,,Fish,Seawater,,86700,847000,,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Kenmore,10000838,FS0050,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,25-Sep-86,NG765570,Highland,No,Kenmore,Ross-shire,,IV54 8XH,,Fish,Seawater,Medium,176500,857000,11a - Torridon,Highland,Bakkafrost Scotland,Atlantic Salmon
